left_eye_center_x,left_eye_center_y,right_eye_center_x,right_eye_center_y,ave_eye_center_x,ave_eye_center_y
709,358,570,363,639,360
707,358,570,362,638,360
708,359,569,363,638,361
709,358,570,362,639,360
708,359,570,361,639,360
709,358,570,363,639,360
709,360,570,364,639,362
708,360,570,362,639,361
709,360,569,363,639,361
709,359,569,363,639,361
709,359,569,362,639,360
708,359,569,363,638,361
709,359,569,363,639,361
709,359,570,363,639,361
709,359,570,363,639,361
709,358,570,362,639,360
710,359,571,363,640,361
709,359,569,363,639,361
708,359,570,363,639,361
708,359,569,362,638,360
