left_eye_center_x,left_eye_center_y,right_eye_center_x,right_eye_center_y,ave_eye_center_x,ave_eye_center_y
702,362,565,363,633,362
702,363,566,363,634,363
703,362,566,363,634,362
702,363,565,363,633,363
703,362,566,362,634,362
703,363,566,364,634,363
704,363,567,363,635,363
705,363,567,362,636,362
703,362,567,362,635,362
703,362,567,362,635,362
703,362,566,362,634,362
703,362,567,363,635,362
702,362,565,362,633,362
702,362,566,363,634,362
703,362,566,362,634,362
703,362,567,362,635,362
703,362,567,361,635,361
703,362,566,361,634,361
702,362,566,361,634,361
703,361,566,362,634,361
