left_eye_center_x,left_eye_center_y,right_eye_center_x,right_eye_center_y,ave_eye_center_x,ave_eye_center_y
725,353,548,353,636,353
724,353,547,353,635,353
724,353,547,353,635,353
724,353,548,354,636,353
725,353,548,353,636,353
724,353,548,354,636,353
724,353,548,353,636,353
724,354,547,353,635,353
724,353,548,353,636,353
725,353,547,354,636,353
724,353,548,354,636,353
724,353,547,353,635,353
724,353,547,353,635,353
724,353,547,354,635,353
725,353,547,354,636,353
724,352,547,353,635,352
724,353,546,353,635,353
724,353,547,353,635,353
725,354,548,354,636,354
725,353,549,353,637,353
