left_eye_center_x,left_eye_center_y,right_eye_center_x,right_eye_center_y,ave_eye_center_x,ave_eye_center_y
735,363,557,361,646,362
734,363,555,361,644,362
735,363,556,361,645,362
734,363,556,361,645,362
735,363,557,361,646,362
735,363,557,360,646,361
734,364,557,360,645,362
735,364,558,361,646,362
734,365,558,361,646,363
735,364,557,360,646,362
735,363,558,361,646,362
735,363,556,361,645,362
735,363,557,361,646,362
734,364,557,360,645,362
735,363,557,360,646,361
734,364,557,360,645,362
734,364,556,360,645,362
733,364,556,359,644,361
735,364,557,360,646,362
734,364,558,360,646,362
