left_eye_center_x,left_eye_center_y,right_eye_center_x,right_eye_center_y,ave_eye_center_x,ave_eye_center_y
724,358,547,358,635,358
724,358,546,357,635,357
724,357,547,357,635,357
723,357,546,358,634,357
724,358,546,357,635,357
724,356,547,357,635,356
723,357,546,358,634,357
723,357,546,357,634,357
723,357,546,357,634,357
725,356,548,358,636,357
724,357,547,357,635,357
725,356,547,358,636,357
724,357,547,357,635,357
724,357,546,357,635,357
724,356,547,357,635,356
724,357,546,357,635,357
724,356,546,357,635,356
724,356,547,357,635,356
725,357,548,356,636,356
724,356,547,357,635,356
