left_eye_center_x,left_eye_center_y,right_eye_center_x,right_eye_center_y,ave_eye_center_x,ave_eye_center_y
714,363,578,366,646,364
715,363,579,366,647,364
715,363,578,366,646,364
714,364,578,365,646,364
714,363,578,364,646,363
715,363,579,365,647,364
714,363,579,364,646,363
715,363,579,365,647,364
714,363,579,364,646,363
714,363,580,365,647,364
715,362,580,364,647,363
712,363,577,364,644,363
713,362,577,365,645,363
712,363,577,365,644,364
713,363,577,365,645,364
713,363,577,364,645,363
713,362,578,364,645,363
712,363,576,365,644,364
712,363,577,365,644,364
712,363,576,365,644,364
