left_eye_center_x,left_eye_center_y,right_eye_center_x,right_eye_center_y,ave_eye_center_x,ave_eye_center_y
714,359,576,359,645,359
713,359,576,360,644,359
713,358,576,359,644,358
713,359,576,359,644,359
714,359,575,360,644,359
713,359,575,359,644,359
713,359,575,358,644,358
712,358,575,358,643,358
712,358,575,358,643,358
712,358,575,359,643,358
713,357,574,359,643,358
714,357,576,358,645,357
714,358,576,359,645,358
714,358,577,359,645,358
713,358,575,358,644,358
713,358,575,358,644,358
713,358,575,359,644,358
713,358,575,358,644,358
713,358,575,358,644,358
713,357,576,357,644,357
