left_eye_center_x,left_eye_center_y,right_eye_center_x,right_eye_center_y,ave_eye_center_x,ave_eye_center_y
732,365,555,368,643,366
732,365,555,368,643,366
733,366,556,368,644,367
734,365,556,369,645,367
733,365,556,367,644,366
733,366,555,369,644,367
732,366,556,368,644,367
733,366,554,369,643,367
733,366,554,369,643,367
733,366,556,368,644,367
733,366,556,368,644,367
732,366,555,368,643,367
733,367,556,368,644,367
733,367,555,369,644,368
732,366,555,368,643,367
732,367,556,368,644,367
733,366,556,368,644,367
732,365,556,368,644,366
733,365,556,368,644,366
733,366,556,368,644,367
