left_eye_center_x,left_eye_center_y,right_eye_center_x,right_eye_center_y,ave_eye_center_x,ave_eye_center_y
733,355,559,354,646,354
732,354,558,354,645,354
733,354,557,354,645,354
733,355,558,354,645,354
732,354,557,354,644,354
732,354,558,353,645,353
732,354,558,353,645,353
732,354,558,354,645,354
732,354,558,354,645,354
732,354,557,354,644,354
732,354,557,354,644,354
733,354,558,354,645,354
732,354,558,353,645,353
732,354,558,354,645,354
732,354,558,353,645,353
732,354,558,354,645,354
732,354,558,354,645,354
732,354,557,354,644,354
732,354,558,353,645,353
733,354,558,353,645,353
