left_eye_center_x,left_eye_center_y,right_eye_center_x,right_eye_center_y,ave_eye_center_x,ave_eye_center_y
739,358,566,356,652,357
739,359,566,356,652,357
739,359,565,356,652,357
739,358,566,356,652,357
738,358,565,357,651,357
738,358,565,356,651,357
738,358,565,356,651,357
737,358,564,356,650,357
737,358,564,357,650,357
738,358,566,356,652,357
739,358,566,356,652,357
738,358,566,356,652,357
738,358,566,356,652,357
738,358,565,357,651,357
738,358,566,356,652,357
738,358,566,356,652,357
737,358,565,356,651,357
738,358,566,356,652,357
739,358,566,356,652,357
738,359,566,356,652,357
