left_eye_center_x,left_eye_center_y,right_eye_center_x,right_eye_center_y,ave_eye_center_x,ave_eye_center_y
707,356,571,359,639,357
708,356,572,359,640,357
708,356,572,358,640,357
709,356,571,359,640,357
707,356,571,359,639,357
707,356,572,358,639,357
708,355,572,359,640,357
708,356,571,358,639,357
708,357,571,358,639,357
707,356,571,359,639,357
707,356,572,359,639,357
707,356,571,359,639,357
707,355,571,358,639,356
707,355,571,358,639,356
708,356,571,358,639,357
708,355,570,357,639,356
707,355,571,358,639,356
706,356,571,358,638,357
707,355,571,358,639,356
707,354,571,358,639,356
