left_eye_center_x,left_eye_center_y,right_eye_center_x,right_eye_center_y,ave_eye_center_x,ave_eye_center_y
715,355,539,353,627,354
715,355,539,354,627,354
715,355,538,354,626,354
715,355,538,354,626,354
716,355,540,353,628,354
715,355,539,353,627,354
715,355,539,354,627,354
715,355,540,353,627,354
714,355,538,354,626,354
714,355,539,353,626,354
716,353,539,354,627,353
714,354,538,353,626,353
715,355,539,353,627,354
714,354,539,353,626,353
712,355,539,353,625,354
714,356,539,354,626,355
714,356,539,353,626,354
713,355,538,354,625,354
714,355,540,353,627,354
713,355,540,353,626,354
