left_eye_center_x,left_eye_center_y,right_eye_center_x,right_eye_center_y,ave_eye_center_x,ave_eye_center_y
701,361,565,361,633,361
700,361,565,361,632,361
700,361,566,361,633,361
701,362,565,362,633,362
700,362,564,361,632,361
700,361,565,362,632,361
699,360,565,361,632,360
699,361,565,361,632,361
699,361,564,361,631,361
698,360,564,362,631,361
700,361,565,360,632,360
699,361,564,360,631,360
698,361,563,361,630,361
699,361,564,361,631,361
699,360,565,361,632,360
699,360,563,361,631,360
700,360,564,360,632,360
698,360,564,361,631,360
699,359,565,360,632,359
700,360,564,360,632,360
