left_eye_center_x,left_eye_center_y,right_eye_center_x,right_eye_center_y,ave_eye_center_x,ave_eye_center_y
737,355,567,355,652,355
738,353,566,355,652,354
738,354,567,354,652,354
738,354,568,355,653,354
738,354,568,355,653,354
738,353,567,354,652,353
738,354,567,354,652,354
738,353,566,354,652,353
738,354,568,355,653,354
738,354,568,354,653,354
739,354,568,355,653,354
738,353,567,355,652,354
738,354,568,354,653,354
738,354,569,355,653,354
739,354,570,353,654,353
739,354,569,353,654,353
738,354,569,355,653,354
739,353,568,354,653,353
738,354,568,354,653,354
739,355,569,354,654,354
