left_eye_center_x,left_eye_center_y,right_eye_center_x,right_eye_center_y,ave_eye_center_x,ave_eye_center_y
713,360,574,362,643,361
714,361,575,362,644,361
712,359,575,362,643,360
713,361,575,362,644,361
712,360,575,361,643,360
713,360,575,361,644,360
713,360,574,361,643,360
713,360,575,361,644,360
714,361,575,361,644,361
714,360,575,360,644,360
712,360,575,360,643,360
713,360,575,360,644,360
713,360,576,360,644,360
713,360,576,362,644,361
714,360,576,360,645,360
714,360,576,360,645,360
714,360,576,360,645,360
714,360,576,360,645,360
714,360,577,360,645,360
714,360,577,359,645,359
