left_eye_center_x,left_eye_center_y,right_eye_center_x,right_eye_center_y,ave_eye_center_x,ave_eye_center_y
716,357,540,359,628,358
715,357,540,358,627,357
715,356,539,358,627,357
715,356,541,358,628,357
716,357,541,358,628,357
716,356,541,357,628,356
715,357,540,358,627,357
717,357,541,358,629,357
717,357,542,357,629,357
716,357,542,358,629,357
717,357,543,357,630,357
717,356,543,357,630,356
716,356,541,358,628,357
716,357,541,358,628,357
717,356,543,358,630,357
715,356,542,358,628,357
716,357,541,359,628,358
715,356,542,358,628,357
716,357,542,358,629,357
715,357,541,359,628,358
