left_eye_center_x,left_eye_center_y,right_eye_center_x,right_eye_center_y,ave_eye_center_x,ave_eye_center_y
704,357,567,359,635,358
704,357,567,361,635,359
704,357,567,360,635,358
703,356,567,359,635,357
703,356,566,359,634,357
704,356,567,360,635,358
704,357,566,360,635,358
704,356,567,360,635,358
704,356,566,359,635,357
705,356,567,359,636,357
704,356,567,359,635,357
704,357,567,359,635,358
703,356,565,360,634,358
703,356,566,360,634,358
703,356,566,360,634,358
703,356,566,359,634,357
703,356,566,359,634,357
703,356,566,358,634,357
703,356,565,360,634,358
703,356,566,358,634,357
