left_eye_center_x,left_eye_center_y,right_eye_center_x,right_eye_center_y,ave_eye_center_x,ave_eye_center_y
717,363,542,359,629,361
716,363,541,359,628,361
716,363,542,359,629,361
715,364,541,360,628,362
715,363,541,359,628,361
715,364,541,359,628,361
717,363,542,360,629,361
716,364,542,361,629,362
716,364,542,360,629,362
715,364,541,360,628,362
715,364,541,360,628,362
717,364,542,360,629,362
716,363,542,360,629,361
716,365,542,361,629,363
715,363,541,360,628,361
716,363,542,360,629,361
716,364,541,360,628,362
715,364,541,360,628,362
715,364,542,360,628,362
715,363,541,360,628,361
