left_eye_center_x,left_eye_center_y,right_eye_center_x,right_eye_center_y,ave_eye_center_x,ave_eye_center_y
726,359,547,363,636,361
726,359,548,363,637,361
726,359,547,362,636,360
726,361,547,364,636,362
725,362,547,364,636,363
725,361,547,363,636,362
726,360,548,363,637,361
725,361,548,363,636,362
726,361,547,363,636,362
726,360,548,362,637,361
726,360,548,363,637,361
725,361,548,362,636,361
727,360,549,363,638,361
726,360,548,362,637,361
726,360,548,361,637,360
725,362,547,363,636,362
725,362,547,363,636,362
725,361,548,363,636,362
726,361,547,363,636,362
725,362,547,362,636,362
