left_eye_center_x,left_eye_center_y,right_eye_center_x,right_eye_center_y,ave_eye_center_x,ave_eye_center_y
724,365,548,368,636,366
724,366,548,367,636,366
724,365,549,367,636,366
726,365,549,366,637,365
725,365,550,365,637,365
724,365,549,368,636,366
724,364,548,366,636,365
725,364,550,366,637,365
725,364,549,366,637,365
724,365,548,366,636,365
724,364,549,365,636,364
725,364,548,366,636,365
725,365,549,367,637,366
725,365,549,367,637,366
725,363,549,366,637,364
725,364,550,367,637,365
725,364,549,367,637,365
725,362,549,366,637,364
725,363,551,366,638,364
725,363,550,367,637,365
