left_eye_center_x,left_eye_center_y,right_eye_center_x,right_eye_center_y,ave_eye_center_x,ave_eye_center_y
732,355,559,358,645,356
730,356,559,357,644,356
731,355,559,358,645,356
731,355,559,357,645,356
731,355,559,358,645,356
730,355,558,358,644,356
731,355,558,357,644,356
731,355,558,358,644,356
731,355,559,358,645,356
731,356,559,358,645,357
731,356,559,357,645,356
731,356,559,357,645,356
731,356,558,358,644,357
732,355,559,358,645,356
731,355,559,358,645,356
732,356,559,358,645,357
731,355,559,358,645,356
731,355,559,358,645,356
731,355,559,358,645,356
731,356,558,359,644,357
