left_eye_center_x,left_eye_center_y,right_eye_center_x,right_eye_center_y,ave_eye_center_x,ave_eye_center_y
710,362,571,366,640,364
710,363,571,365,640,364
709,362,571,366,640,364
708,362,570,365,639,363
709,362,571,366,640,364
708,362,570,366,639,364
709,362,571,365,640,363
709,364,571,365,640,364
709,363,571,366,640,364
709,364,571,365,640,364
709,363,573,366,641,364
709,363,571,366,640,364
709,363,572,366,640,364
710,363,572,366,641,364
710,363,571,366,640,364
710,363,571,366,640,364
709,363,572,366,640,364
709,363,571,365,640,364
708,364,572,366,640,365
708,363,571,366,639,364
