left_eye_center_x,left_eye_center_y,right_eye_center_x,right_eye_center_y,ave_eye_center_x,ave_eye_center_y
716,363,541,366,628,364
714,363,540,367,627,365
716,363,540,367,628,365
716,364,540,367,628,365
717,364,540,367,628,365
716,363,540,367,628,365
717,364,541,367,629,365
717,362,541,367,629,364
716,362,541,367,628,364
716,363,540,368,628,365
716,363,541,367,628,365
717,363,541,367,629,365
715,363,539,367,627,365
716,363,541,367,628,365
716,363,541,368,628,365
714,363,540,368,627,365
714,362,538,367,626,364
714,362,540,366,627,364
714,362,540,367,627,364
717,363,541,367,629,365
